"","segment_id","month","weekday","hour","max_speed","coordinates","X","Y","street","place","province","pct_up","lorry","pedestrian","bike","car","bucket0","bucket1","bucket2","bucket3","bucket4","bucket5","bucket6","bucket7","expectedfine","speederrisk","roadrisk","riskscore","expectedfinescaled"
"73",26408,1,"Saturday",18,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.14,10,0,25.5,169.5,7,15.5,106.5,32,7.5,3.5,0,0,74.2,0.035,4.345,0.0419192694344256,0.000474483205511338
"74",26408,1,"Sunday",9,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.255,2.5,1.5,9.5,62.5,10.5,8,28,16.5,2,0,0,0,0,0,1.675,0.0159715294298212,0
"75",26408,1,"Sunday",10,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.7675,7.75,4.75,14.75,71.5,6,7.75,29.5,24.75,4.75,1,0.5,1,205.2,0.115,2.505,0.0250364515386386,0.00131218266537637
"76",26408,1,"Sunday",11,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.7825,10.25,7,19.5,108.25,7.5,23.5,41.75,25.75,9.25,2,0,1.25,232.4,0.1325,3.485,0.0346049804312793,0.00148611720971476
"77",26408,1,"Sunday",12,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.77,16.5,8.5,21,129.5,9.5,15.5,54.5,39,12.5,1.5,0,0.5,107.8,0.06,3.985,0.0387057785281252,0.00068934352498817
"78",26408,1,"Sunday",13,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.7525,14.75,4.25,31.25,119.25,8.25,11,46.75,40.75,9.25,3,2,2,495.6,0.27,4.6775,0.0473630189548001,0.00316918971228327
"79",26408,1,"Sunday",14,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.7775,12.75,10.25,26.75,127.25,8.5,16.75,48.75,38.25,12.25,2,0.5,2.5,454.4,0.26,4.5875,0.046403767937994,0.00290573003482954
"80",26408,1,"Sunday",15,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.785,17.5,6.25,31.5,141.25,13.5,17.25,54.25,41.25,12,2.5,1,3.5,649,0.37,5.05,0.0518954800092088,0.00415012938513286
"81",26408,1,"Sunday",16,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.79,16.5,7.75,21.75,143.25,10.5,20.75,53.75,46.75,10.5,3,0,1,215.6,0.12,4.16,0.0409600184176195,0.00137868704997634
"82",26408,1,"Sunday",17,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.6225,12.75,4.5,21.5,133.5,11.5,14.75,54.25,45.25,7.5,1.5,0,1.25,221.8,0.1275,3.8375,0.0379383777146804,0.00141833389464171
"83",26408,1,"Sunday",18,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.095,12.5,8,29,159.5,44.5,19.5,60,25,4,0,0,8,1216,0.72,5.02,0.0549650832629883,0.0077758972763044
"84",26408,1,"Thursday",9,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.21,28.3333333333333,22.3333333333333,106.333333333333,235.333333333333,5.66666666666667,32.6666666666667,116,59.6666666666667,14.3333333333333,6,0,3.33333333333333,633.866666666667,0.36,14.3866666666667,0.141361624843322,0.00405335697933675
"85",26408,1,"Thursday",10,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.64,30.2,10.2,45.4,165.2,11.2,23.6,75,47.2,9.2,1.6,0,0.6,125.12,0.07,7.004,0.0677614918271814,0.000800098903956584
"86",26408,1,"Thursday",11,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.694,32.8,10.8,31.4,173.4,12.2,26,76.8,48,10,2.2,0.6,1.6,328.24,0.184,5.742,0.0567492901542476,0.00209898069241296
"87",26408,1,"Thursday",12,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.784,30.6,4,38.2,163.2,13,19.2,73.8,43.8,14.8,0.6,0,1.2,195.12,0.114,5.958,0.0581497966387845,0.00124772456953332
"88",26408,1,"Thursday",13,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.778,34.4,7.2,65.4,177.6,11.4,30,76.2,44.2,14.2,1.2,1.6,2,431.84,0.24,9.02,0.0887307190545622,0.00276146667746652
"89",26408,1,"Thursday",14,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.79,40,4,36.2,156.4,9,20.2,64.4,46.8,13.4,3.6,1,1.4,353.12,0.192,5.784,0.0572289156626506,0.00225807964326366
"90",26408,1,"Thursday",15,50,"[3.705401392751692, 51.035918198489846]",3.70540139275169,51.0359181984898,"Sint-Denijslaan","Gent","Oost-Vlaanderen",0.792,41.8,6.2,32.8,167.2,16.4,27.4,70.2,44,8.8,1.4,0,2.4,394.48,0.23,5.68,0.0565958099915586,0.00252256246509586
